Country,Year,Vehicle Class,Category Of Vehicle,Sales Of Motor Vehicles,Parameters,Consumer Category,Energy Sale For Utilities And Non-Utilities
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Quadricycle,,DIESEL/HYBRID,Agriculture,17572.6
India,"Financial Year (Apr - Mar), 2007",Quadricycle,Diesel Cars,,DIESEL/HYBRID,Agriculture,10455.54
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Diesel Cars,9759436,LPG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2002",Two Wheelers,Quadricycle,,LPG ONLY,Domestic,33868.21
India,"Financial Year (Apr - Mar), 2005",Trucks,Electric Cars,,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2000",Buses,Electric Two Wheelers,7275795,CNG ONLY,Agriculture,52295.01
India,"Financial Year (Apr - Mar), 2020",Trucks,Motorcycles,6989451,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2000",Quadricycle,CNG Cars,4345868,ELECTRIC/PLUG-IN,Agriculture,3176.05
India,"Financial Year (Apr - Mar), 2009",Trucks,Scooters,,DIESEL/HYBRID,Commercial,99104.85
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Scooters,4363127,CNG ONLY,Domestic,59753.8
India,"Financial Year (Apr - Mar), 2022",Three Wheelers,Motorcycles,9891393,PETROL,Miscellaneous,5118.31
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Quadricycle,,DIESEL/HYBRID,Miscellaneous,12485.51
India,"Financial Year (Apr - Mar), 2001",Trucks,Motorcycles,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,8390.95
India,"Financial Year (Apr - Mar), 2019",Three Wheelers,Diesel Cars,3513157,LPG ONLY,Public Water Works & Sewage Pumping,5227.21
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Diesel Cars,,LPG ONLY,Domestic,6377.92
India,"Financial Year (Apr - Mar), 2017",Quadricycle,Scooters,8621474,ELECTRIC/PLUG-IN,Domestic,4395.32
India,"Financial Year (Apr - Mar), 2020",Trucks,CNG Cars,,PETROL,Agriculture,24079.33
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Quadricycle,4391932,CNG ONLY,Public Water Works & Sewage Pumping,59891.86
India,"Financial Year (Apr - Mar), 2022",Four Wheelers,Electric Two Wheelers,2174367,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2016",Trucks,Diesel Cars,2298627,LPG ONLY,Commercial,7636.01
India,"Financial Year (Apr - Mar), 2004",Three Wheelers,Scooters,,DIESEL,Miscellaneous,66327.39
India,"Financial Year (Apr - Mar), 2000",Buses,Electric Cars,,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Scooters,5256880,ELECTRIC(BOV),Domestic,9415.23
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Motorcycles,2065723,PETROL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2017",Four Wheelers,CNG Cars,,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2008",Quadricycle,Scooters,,PETROL,Domestic,8775.95
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Scooters,6864500,ELECTRIC(BOV),Agriculture,7319.16
India,"Financial Year (Apr - Mar), 2006",Trucks,Quadricycle,1365531,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,31441.25
India,"Financial Year (Apr - Mar), 2016",Two Wheelers,Diesel Cars,,CNG ONLY,Public Water Works & Sewage Pumping,8956.28
India,"Financial Year (Apr - Mar), 2008",Four Wheelers,Electric Two Wheelers,3631581,LPG ONLY,Domestic,4935.33
India,"Financial Year (Apr - Mar), 2002",Quadricycle,Mopeds,2773642,LPG ONLY,Public Water Works & Sewage Pumping,7917.87
India,"Financial Year (Apr - Mar), 2020",Three Wheelers,Scooters,5093769,ELECTRIC(BOV),Public Water Works & Sewage Pumping,3515.64
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Electric Two Wheelers,,PETROL,Commercial,90270.72
India,"Financial Year (Apr - Mar), 2004",Buses,Electric Cars,,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2024",Buses,Electric Two Wheelers,,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2009",Three Wheelers,Motorcycles,,ELECTRIC(BOV),Public Water Works & Sewage Pumping,52179.46
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Quadricycle,1464908,CNG ONLY,Agriculture,6813.58
India,"Financial Year (Apr - Mar), 2016",Two Wheelers,Quadricycle,,PETROL,Commercial,131.42
India,"Financial Year (Apr - Mar), 2014",Buses,Quadricycle,1544837,ELECTRIC(BOV),Miscellaneous,747.23
India,"Financial Year (Apr - Mar), 2017",Two Wheelers,Mopeds,1883421,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2024",Four Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Miscellaneous,40209.41
India,"Financial Year (Apr - Mar), 2003",Three Wheelers,Quadricycle,,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2021",Two Wheelers,Mopeds,4020912,LPG ONLY,Public Water Works & Sewage Pumping,24635.52
India,"Financial Year (Apr - Mar), 2002",Buses,Diesel Cars,2506081,PETROL,Agriculture,93945.56
India,"Financial Year (Apr - Mar), 2012",Buses,CNG Cars,4729607,DIESEL/HYBRID,Agriculture,
India,"Financial Year (Apr - Mar), 2020",Three Wheelers,CNG Cars,5011045,ELECTRIC(BOV),Agriculture,
India,"Financial Year (Apr - Mar), 2000",Buses,Quadricycle,,LPG ONLY,Agriculture,
India,"Financial Year (Apr - Mar), 2020",Buses,Electric Cars,8561881,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2012",Buses,Electric Two Wheelers,8944845,CNG ONLY,Commercial,20220.18
India,"Financial Year (Apr - Mar), 2001",Trucks,Diesel Cars,,LPG ONLY,Agriculture,60484.42
India,"Financial Year (Apr - Mar), 2024",Two Wheelers,Quadricycle,6190142,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Trucks,Quadricycle,,DIESEL/HYBRID,Domestic,919.11
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Quadricycle,,DIESEL/HYBRID,Commercial,95456.86
India,"Financial Year (Apr - Mar), 2023",Two Wheelers,Scooters,,PETROL,Commercial,41267.21
India,"Financial Year (Apr - Mar), 2010",Four Wheelers,Quadricycle,7395034,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Quadricycle,,CNG ONLY,Domestic,56371.24
India,"Financial Year (Apr - Mar), 2018",Four Wheelers,Electric Cars,,LPG ONLY,Commercial,1778.33
India,"Financial Year (Apr - Mar), 2004",Two Wheelers,Electric Two Wheelers,4256049,DIESEL/HYBRID,Commercial,6907.04
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,Diesel Cars,3135354,PETROL,Agriculture,2776.01
India,"Financial Year (Apr - Mar), 2002",Buses,Electric Two Wheelers,9966046,ELECTRIC/PLUG-IN,Commercial,57813.92
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,Diesel Cars,1317506,ELECTRIC(BOV),Domestic,19645.48
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Motorcycles,,CNG ONLY,Public Water Works & Sewage Pumping,1831.02
India,"Financial Year (Apr - Mar), 2006",Trucks,Scooters,,CNG ONLY,Agriculture,52657.29
India,"Financial Year (Apr - Mar), 2002",Two Wheelers,Electric Cars,,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,Electric Cars,,DIESEL,Domestic,3567.41
India,"Financial Year (Apr - Mar), 2024",Two Wheelers,Electric Cars,954789,DIESEL/HYBRID,Miscellaneous,17909.89
India,"Financial Year (Apr - Mar), 2023",Two Wheelers,CNG Cars,3678866,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,20083.5
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Motorcycles,9570067,DIESEL/HYBRID,Agriculture,75060.65
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,CNG Cars,,ELECTRIC(BOV),Public Water Works & Sewage Pumping,26833.94
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Electric Two Wheelers,8050979,LPG ONLY,Agriculture,6110.09
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Electric Cars,5762810,CNG ONLY,Commercial,59374.28
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Cars,,LPG ONLY,Agriculture,1396.86
India,"Financial Year (Apr - Mar), 2010",Trucks,CNG Cars,,ELECTRIC/PLUG-IN,Agriculture,77137.71
India,"Financial Year (Apr - Mar), 2013",Buses,Quadricycle,,LPG ONLY,Domestic,76700.86
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Mopeds,,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2013",Three Wheelers,Diesel Cars,,CNG ONLY,Commercial,49522.14
India,"Financial Year (Apr - Mar), 2018",Buses,Diesel Cars,3096176,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2001",Trucks,Electric Cars,,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Quadricycle,4547358,PETROL,Agriculture,5339.28
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Mopeds,5285034,CNG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,Diesel Cars,4067893,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2007",Buses,Electric Cars,5535633,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Motorcycles,,DIESEL/HYBRID,Commercial,9473.36
India,"Financial Year (Apr - Mar), 2007",Trucks,Scooters,8940264,ELECTRIC/PLUG-IN,Miscellaneous,5933.7
India,"Financial Year (Apr - Mar), 2023",Buses,Quadricycle,848761,LPG ONLY,Commercial,16958.9
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,Diesel Cars,2286106,CNG ONLY,Public Water Works & Sewage Pumping,85500.83
India,"Financial Year (Apr - Mar), 2022",Two Wheelers,Mopeds,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,76982.47
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Electric Cars,9282985,ELECTRIC(BOV),Miscellaneous,92787.01
India,"Financial Year (Apr - Mar), 2006",Three Wheelers,Motorcycles,2097258,ELECTRIC(BOV),Domestic,4529.87
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Diesel Cars,3374695,CNG ONLY,Public Water Works & Sewage Pumping,66903.79
India,"Financial Year (Apr - Mar), 2020",Two Wheelers,CNG Cars,580451,CNG ONLY,Miscellaneous,4152.09
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,CNG Cars,,PETROL,Domestic,90824.89
India,"Financial Year (Apr - Mar), 2016",Buses,Electric Cars,,ELECTRIC(BOV),Commercial,74265.33
India,"Financial Year (Apr - Mar), 2001",Trucks,Electric Two Wheelers,,DIESEL/HYBRID,Domestic,1560.85
India,"Financial Year (Apr - Mar), 2022",Four Wheelers,Quadricycle,5221593,DIESEL/HYBRID,Commercial,12284.77
India,"Financial Year (Apr - Mar), 2006",Buses,Quadricycle,4053064,ELECTRIC(BOV),Domestic,5060.02
India,"Financial Year (Apr - Mar), 2014",Buses,Motorcycles,3195714,LPG ONLY,Commercial,98985.59
India,"Financial Year (Apr - Mar), 2010",Quadricycle,Electric Two Wheelers,,PETROL,Commercial,
India,"Financial Year (Apr - Mar), 2020",Four Wheelers,Quadricycle,7517324,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Motorcycles,6928889,DIESEL,Domestic,5907.05
India,"Financial Year (Apr - Mar), 2004",Trucks,Quadricycle,5447149,DIESEL,Public Water Works & Sewage Pumping,95360.8
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Scooters,,ELECTRIC/PLUG-IN,Agriculture,4852.94
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Electric Cars,896040,CNG ONLY,Domestic,4222.82
India,"Financial Year (Apr - Mar), 2012",Three Wheelers,CNG Cars,,PETROL,Commercial,5769.4
India,"Financial Year (Apr - Mar), 2004",Two Wheelers,Diesel Cars,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,119.85
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Quadricycle,,PETROL,Agriculture,4947.8
India,"Financial Year (Apr - Mar), 2020",Quadricycle,Diesel Cars,,DIESEL,Miscellaneous,9586.69
India,"Financial Year (Apr - Mar), 2003",Four Wheelers,Scooters,7927596,ELECTRIC(BOV),Domestic,
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Diesel Cars,9107270,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2019",Four Wheelers,Motorcycles,7250947,CNG ONLY,Domestic,40081.95
India,"Financial Year (Apr - Mar), 2001",Buses,Mopeds,,CNG ONLY,Agriculture,71956.22
India,"Financial Year (Apr - Mar), 2024",Four Wheelers,Motorcycles,,LPG ONLY,Domestic,3152.82
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Mopeds,2987590,ELECTRIC/PLUG-IN,Miscellaneous,
India,"Financial Year (Apr - Mar), 2020",Two Wheelers,CNG Cars,,DIESEL/HYBRID,Agriculture,
India,"Financial Year (Apr - Mar), 2008",Buses,Scooters,,DIESEL,Agriculture,61115.07
India,"Financial Year (Apr - Mar), 2006",Trucks,CNG Cars,9062788,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2017",Trucks,Electric Two Wheelers,3443382,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2023",Four Wheelers,Electric Two Wheelers,,ELECTRIC(BOV),Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Electric Two Wheelers,,CNG ONLY,Public Water Works & Sewage Pumping,89738
India,"Financial Year (Apr - Mar), 2011",Trucks,Scooters,4147270,DIESEL,Commercial,222.48
India,"Financial Year (Apr - Mar), 2017",Four Wheelers,Motorcycles,,LPG ONLY,Public Water Works & Sewage Pumping,7674.21
India,"Financial Year (Apr - Mar), 2011",Two Wheelers,Quadricycle,9268731,CNG ONLY,Commercial,926.08
India,"Financial Year (Apr - Mar), 2000",Trucks,Mopeds,4730642,DIESEL/HYBRID,Commercial,2970.12
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,Electric Cars,9166558,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2004",Buses,Electric Cars,,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Motorcycles,5703075,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Scooters,6777528,DIESEL,Domestic,82069.27
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,Mopeds,,DIESEL,Agriculture,45661.78
India,"Financial Year (Apr - Mar), 2017",Trucks,Mopeds,6676455,ELECTRIC(BOV),Public Water Works & Sewage Pumping,2245.94
India,"Financial Year (Apr - Mar), 2003",Trucks,Electric Cars,7066993,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2024",Three Wheelers,Electric Two Wheelers,1152953,ELECTRIC/PLUG-IN,Agriculture,
India,"Financial Year (Apr - Mar), 2005",Four Wheelers,Electric Cars,,DIESEL,Public Water Works & Sewage Pumping,2209.63
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Scooters,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,61418.7
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Electric Cars,6036988,DIESEL/HYBRID,Domestic,
India,"Financial Year (Apr - Mar), 2015",Two Wheelers,Electric Cars,4630650,CNG ONLY,Public Water Works & Sewage Pumping,65675.02
India,"Financial Year (Apr - Mar), 2006",Buses,Motorcycles,,CNG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2020",Trucks,CNG Cars,,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2001",Buses,Diesel Cars,9522602,CNG ONLY,Agriculture,1167.28
India,"Financial Year (Apr - Mar), 2002",Trucks,Motorcycles,9476441,DIESEL,Miscellaneous,6329.89
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Electric Two Wheelers,,DIESEL,Miscellaneous,73735.49
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Diesel Cars,,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2011",Quadricycle,Motorcycles,,PETROL,Miscellaneous,11991.12
India,"Financial Year (Apr - Mar), 2014",Four Wheelers,Motorcycles,,DIESEL,Commercial,9971.27
India,"Financial Year (Apr - Mar), 2008",Buses,Electric Cars,,DIESEL,Miscellaneous,6548.57
India,"Financial Year (Apr - Mar), 2011",Quadricycle,Electric Cars,9500452,PETROL,Domestic,9645.56
India,"Financial Year (Apr - Mar), 2002",Four Wheelers,Mopeds,,DIESEL/HYBRID,Commercial,2138.92
India,"Financial Year (Apr - Mar), 2023",Quadricycle,Scooters,,ELECTRIC(BOV),Miscellaneous,1863.4
India,"Financial Year (Apr - Mar), 2007",Four Wheelers,Diesel Cars,9617366,PETROL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2019",Trucks,CNG Cars,,DIESEL/HYBRID,Agriculture,6076.99
India,"Financial Year (Apr - Mar), 2005",Two Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2012",Two Wheelers,Quadricycle,,DIESEL,Domestic,87411.02
India,"Financial Year (Apr - Mar), 2008",Four Wheelers,Diesel Cars,5983544,LPG ONLY,Agriculture,11653.09
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Electric Two Wheelers,,DIESEL,Miscellaneous,733.44
India,"Financial Year (Apr - Mar), 2012",Trucks,Mopeds,,DIESEL,Commercial,28077.32
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Scooters,,CNG ONLY,Agriculture,58716.67
India,"Financial Year (Apr - Mar), 2011",Three Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Domestic,69473.81
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,CNG Cars,7275406,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2011",Buses,Mopeds,2972732,DIESEL,Domestic,9758.89
India,"Financial Year (Apr - Mar), 2022",Buses,CNG Cars,2986031,LPG ONLY,Commercial,218.4
India,"Financial Year (Apr - Mar), 2023",Two Wheelers,Motorcycles,,DIESEL,Domestic,
India,"Financial Year (Apr - Mar), 2014",Two Wheelers,CNG Cars,7248987,DIESEL/HYBRID,Public Water Works & Sewage Pumping,7274.42
India,"Financial Year (Apr - Mar), 2003",Quadricycle,Electric Two Wheelers,,LPG ONLY,Commercial,62080.79
India,"Financial Year (Apr - Mar), 2020",Three Wheelers,Quadricycle,,ELECTRIC/PLUG-IN,Commercial,
India,"Financial Year (Apr - Mar), 2018",Three Wheelers,Diesel Cars,4453778,DIESEL,Public Water Works & Sewage Pumping,21841.09
India,"Financial Year (Apr - Mar), 2022",Three Wheelers,Electric Two Wheelers,,DIESEL,Public Water Works & Sewage Pumping,54305.01
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Electric Cars,5550070,LPG ONLY,Commercial,961.66
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Scooters,2100212,ELECTRIC/PLUG-IN,Agriculture,7737
India,"Financial Year (Apr - Mar), 2022",Four Wheelers,Scooters,,DIESEL,Public Water Works & Sewage Pumping,3376.66
India,"Financial Year (Apr - Mar), 2004",Quadricycle,Quadricycle,1952811,ELECTRIC(BOV),Public Water Works & Sewage Pumping,3573.75
India,"Financial Year (Apr - Mar), 2016",Quadricycle,Quadricycle,4025470,DIESEL/HYBRID,Miscellaneous,13076.9
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,CNG Cars,,DIESEL,Public Water Works & Sewage Pumping,6403.63
India,"Financial Year (Apr - Mar), 2020",Four Wheelers,Electric Cars,7510960,ELECTRIC(BOV),Miscellaneous,
India,"Financial Year (Apr - Mar), 2010",Trucks,Scooters,1906220,ELECTRIC/PLUG-IN,Domestic,
India,"Financial Year (Apr - Mar), 2012",Quadricycle,Quadricycle,,LPG ONLY,Commercial,1891.61
India,"Financial Year (Apr - Mar), 2005",Buses,CNG Cars,5887845,DIESEL,Agriculture,95015.28
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Mopeds,7386519,CNG ONLY,Miscellaneous,1139.97
India,"Financial Year (Apr - Mar), 2000",Four Wheelers,CNG Cars,,LPG ONLY,Commercial,9994.14
India,"Financial Year (Apr - Mar), 2000",Two Wheelers,Mopeds,4886872,PETROL,Agriculture,68546.05
India,"Financial Year (Apr - Mar), 2013",Quadricycle,Diesel Cars,,DIESEL,Commercial,8780.13
India,"Financial Year (Apr - Mar), 2010",Two Wheelers,Quadricycle,6539845,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2014",Buses,Motorcycles,7909963,CNG ONLY,Agriculture,43592.66
India,"Financial Year (Apr - Mar), 2010",Four Wheelers,Quadricycle,,DIESEL,Commercial,44180.72
India,"Financial Year (Apr - Mar), 2007",Three Wheelers,Diesel Cars,757419,PETROL,Commercial,1098.09
India,"Financial Year (Apr - Mar), 2014",Quadricycle,Electric Two Wheelers,,DIESEL,Miscellaneous,
India,"Financial Year (Apr - Mar), 2010",Buses,Electric Two Wheelers,6602910,LPG ONLY,Domestic,3806.94
India,"Financial Year (Apr - Mar), 2021",Four Wheelers,Scooters,9755741,LPG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2002",Three Wheelers,Electric Two Wheelers,,CNG ONLY,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Scooters,7422620,ELECTRIC/PLUG-IN,Agriculture,33090.65
India,"Financial Year (Apr - Mar), 2006",Trucks,Mopeds,1916039,DIESEL,Domestic,35.81
India,"Financial Year (Apr - Mar), 2021",Quadricycle,Mopeds,3339049,ELECTRIC/PLUG-IN,Commercial,42469.53
India,"Financial Year (Apr - Mar), 2007",Two Wheelers,Scooters,7477866,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2009",Two Wheelers,Scooters,,DIESEL,Agriculture,4245.21
India,"Financial Year (Apr - Mar), 2002",Quadricycle,Scooters,1022384,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2006",Four Wheelers,Scooters,1216861,PETROL,Agriculture,
India,"Financial Year (Apr - Mar), 2006",Buses,Scooters,,DIESEL/HYBRID,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2023",Quadricycle,Diesel Cars,,DIESEL/HYBRID,Commercial,9056.19
India,"Financial Year (Apr - Mar), 2000",Quadricycle,Motorcycles,,CNG ONLY,Miscellaneous,4429.68
India,"Financial Year (Apr - Mar), 2011",Four Wheelers,Quadricycle,,DIESEL/HYBRID,Commercial,30774.63
India,"Financial Year (Apr - Mar), 2002",Trucks,Diesel Cars,6699921,LPG ONLY,Commercial,
India,"Financial Year (Apr - Mar), 2019",Trucks,Electric Two Wheelers,2561331,PETROL,Public Water Works & Sewage Pumping,28084.03
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Mopeds,,LPG ONLY,Domestic,
India,"Financial Year (Apr - Mar), 2007",Trucks,Electric Cars,,LPG ONLY,Agriculture,56886.22
India,"Financial Year (Apr - Mar), 2021",Three Wheelers,Quadricycle,,CNG ONLY,Public Water Works & Sewage Pumping,80382.53
India,"Financial Year (Apr - Mar), 2013",Quadricycle,Mopeds,,PETROL,Commercial,3815.29
India,"Financial Year (Apr - Mar), 2008",Two Wheelers,Motorcycles,,DIESEL/HYBRID,Commercial,
India,"Financial Year (Apr - Mar), 2021",Four Wheelers,CNG Cars,736331,LPG ONLY,Commercial,45746.09
India,"Financial Year (Apr - Mar), 2017",Buses,Motorcycles,,DIESEL/HYBRID,Domestic,7902.4
